# r f0 f1 f2 analytical 
0.1 0.180549 -0.0755547 -0.0917729 0.180967
0.2 0.32679 -0.136169 -0.165023 0.327492
0.3 0.443611 -0.183473 -0.22147 0.444491
0.4 0.535283 -0.218959 -0.262747 0.536256
0.5 0.605531 -0.243991 -0.290407 0.606531
0.6 0.657597 -0.259813 -0.305919 0.658574
0.7 0.694303 -0.26756 -0.310675 0.695219
0.8 0.718098 -0.268266 -0.305986 0.718926
0.9 0.731104 -0.26287 -0.293089 0.731825
1 0.735155 -0.252225 -0.273143 0.735759
1.1 0.731837 -0.237104 -0.247234 0.732316
1.2 0.722513 -0.218206 -0.216379 0.722866
1.3 0.708354 -0.196163 -0.181522 0.708583
1.4 0.690363 -0.171545 -0.14354 0.690471
1.5 0.669396 -0.144863 -0.103245 0.66939
1.6 0.646181 -0.116575 -0.0613854 0.646069
1.7 0.621335 -0.0870937 -0.0186459 0.621124
1.8 0.595377 -0.0567837 0.024347 0.595076
1.9 0.568742 -0.0259708 0.067025 0.568361
2 0.541794 0.00505702 0.108875 0.541341
2.1 0.514832 0.0360456 0.149437 0.514317
2.2 0.488103 0.0667722 0.188303 0.487534
2.3 0.461806 0.0970423 0.225112 0.461191
2.4 0.436099 0.126687 0.259553 0.435446
2.5 0.411108 0.155562 0.291357 0.410425
2.6 0.386929 0.183543 0.320297 0.386223
2.7 0.363634 0.210526 0.346187 0.36291
2.8 0.341272 0.236424 0.368881 0.340536
2.9 0.319877 0.261166 0.388265 0.319135
3 0.299466 0.284695 0.404262 0.298722
3.1 0.280047 0.306969 0.416825 0.279305
3.2 0.261614 0.327953 0.425937 0.260878
3.3 0.244155 0.347628 0.431608 0.243429
3.4 0.227652 0.365979 0.433875 0.226938
3.5 0.212081 0.383002 0.432796 0.211382
3.6 0.197414 0.3987 0.428453 0.196731
3.7 0.183619 0.413082 0.420946 0.182954
3.8 0.170664 0.426161 0.410395 0.170018
3.9 0.158512 0.437959 0.396934 0.157887
4 0.147129 0.448498 0.380711 0.146525
4.1 0.136477 0.457805 0.361889 0.135896
4.2 0.126522 0.465911 0.34064 0.125963
4.3 0.117225 0.472848 0.317147 0.11669
4.4 0.108553 0.478652 0.291598 0.108041
4.5 0.100471 0.48336 0.264191 0.099981
4.6 0.092944 0.487008 0.235127 0.0924769
4.7 0.08594 0.489637 0.204611 0.0854956
4.8 0.0794277 0.491286 0.172851 0.0790056
4.9 0.0733767 0.491995 0.140054 0.0729765
5 0.0677582 0.491805 0.106429 0.0673795
5.1 0.0625445 0.490757 0.0721847 0.0621868
5.2 0.0577094 0.48889 0.0375249 0.0573723
5.3 0.053228 0.486244 0.0026522 0.0529109
5.4 0.0490767 0.48286 -0.0322354 0.0487791
5.5 0.0452332 0.478776 -0.0669446 0.0449545
5.6 0.0416764 0.47403 -0.101288 0.0414161
5.7 0.0383865 0.46866 -0.135085 0.038144
5.8 0.0353449 0.462702 -0.16816 0.0351196
5.9 0.0325339 0.456191 -0.200349 0.0323254
6 0.0299371 0.449162 -0.231492 0.029745
6.1 0.0275392 0.441648 -0.26144 0.027363
6.2 0.0253257 0.433681 -0.290053 0.0251649
6.3 0.0232832 0.425293 -0.317201 0.0231374
6.4 0.021399 0.416514 -0.342761 0.0212679
6.5 0.0196613 0.407372 -0.366624 0.0195447
6.6 0.0180593 0.397895 -0.388689 0.0179569
6.7 0.0165827 0.388109 -0.408865 0.0164942
6.8 0.015222 0.378039 -0.427074 0.0151473
6.9 0.0139684 0.367709 -0.443245 0.0139074
7 0.0128137 0.357143 -0.457322 0.0127663
7.1 0.0117501 0.346361 -0.469257 0.0117165
7.2 0.0107707 0.335384 -0.479011 0.0107508
7.3 0.00986874 0.324231 -0.48656 0.00986287
7.4 0.00903822 0.312921 -0.491886 0.00904654
7.5 0.00827343 0.301471 -0.494983 0.00829627
7.6 0.00756911 0.289896 -0.495856 0.00760686
7.7 0.00692037 0.278211 -0.494518 0.00697354
7.8 0.00632268 0.266432 -0.490991 0.00639187
7.9 0.00577186 0.254569 -0.485308 0.00585775
8 0.00526399 0.242636 -0.477509 0.0053674
8.1 0.00479548 0.230643 -0.467643 0.00491733
8.2 0.00436296 0.218601 -0.455768 0.00450432
8.3 0.00396332 0.206518 -0.441948 0.00412538
8.4 0.00359366 0.194403 -0.426256 0.00377777
8.5 0.0032513 0.182264 -0.408769 0.00345896
8.6 0.00293372 0.170106 -0.389574 0.00316662
8.7 0.00263857 0.157936 -0.36876 0.00289859
8.8 0.00236369 0.14576 -0.346424 0.0026529
8.9 0.002107 0.13358 -0.322669 0.00242772
9 0.00186661 0.121401 -0.297598 0.00222138
9.1 0.00164068 0.109227 -0.271321 0.00203232
9.2 0.00142751 0.0970579 -0.243953 0.00185912
9.3 0.00122548 0.084897 -0.215608 0.00170049
9.4 0.00103304 0.072745 -0.186406 0.00155521
9.5 0.000848707 0.0606021 -0.156466 0.00142218
9.6 0.000671051 0.0484682 -0.125911 0.00130039
9.7 0.000498691 0.0363426 -0.0948632 0.0011889
9.8 0.000330277 0.024224 -0.0634465 0.00108685
9.9 0.000164484 0.0121106 -0.0317844 0.000993459
